"Development of a Centralized Platform for Wildlife, Biodiversity, and Conservation Projects across India- List of NGOs 
",,,
,,,
,,Government of India ,https://pib.gov.in/PressNoteDetails.aspx?NoteId=153834&ModuleId=3&reg=3&lang=1
,,,
STATE,SANCTUARY,NGO,NGO WEBSITE
MAHARASHTRA,Tansa WLS,"Vanashakti, Sanctuary Nature Foundation, Wildlife and We","https://vanashakti.org/, https://www.sanctuarynaturefoundation.org/, https://wildlifeandwe.in/"
,Kalsubai WLS,,
,Sanjay Gandhi NP,"Earth 5R, Seva Charitable Trust, Forrest, Wildlife and We, Fondation Ensemble","https://wildlifeandwe.in/, https://earth5r.org/, https://worldartcommunity.com/shops/seva-charitable-trust/, https://www.forrest-india.org/, https://www.fondationensemble.org/en/"
,Karnala WLS,"Green Works Trust, Wildlife Conservation Trust, iNaturewatch Foundation, Hands that Heal, Forrest, Wildlife and We","https://gwtindia.org/, https://www.wildlifeconservationtrust.org/, https://inaturewatch.org/, https://handsthatheal.in/, https://www.forrest-india.org/, https://wildlifeandwe.in/"
,Bhimashankar WLS,"Kalpavriksh, Shashwat","https://kalpavriksh.org/, https://www.shashwattrustmanchar.org/about-us/"
,Tungareshwar WLS,"Wildlife and We, Fondation Ensemble","https://wildlifeandwe.in/, https://www.fondationensemble.org/en/"
,Phansad WLS,"Green Works Trust, Wildlife and We, Srushtidnyan","https://gwtindia.org/, https://wildlifeandwe.in/,https://www.srushtidnyan.org/"
,Koyna WLS,"Wildlife Research and Conservation Society, Sahyadri Nature Foundation, AERF","https://www.wrcsindia.org/, https://paschimghat.wixsite.com/home, https://www.aerfindia.org/"
,Chandoli NP,"Wildlife and We, Sahyadri Nature Foundation, AERF","https://wildlifeandwe.in/, https://paschimghat.wixsite.com/home, https://www.aerfindia.org/"
,Radhanagiri WLS,"Nisarg Mitra, ATREE, Bison Nature Club Sahyadri Nature Foundation","https://www.snmcpn.org/#:~:text=Sahyadri%20Nisarga%20Mitra%20(SNM)%20is,of%20Maharashtra%20state%20in%20India., https://www.atree.org/, https://www.google.com.pk/travel/hotels/entity/ChgIiYnNwJCK2pPTARoLL2cvMXRmNnE3NDkQBA, https://paschimghat.wixsite.com/home"
,Amba Barwa WLS,,
,Andhari WLS,"Wildlife Conservation Trust, Satpuda Foundation, TRACT","https://www.wildlifeconservationtrust.org/our-work/wildlife-conservation/catalysing-conservation/#:~:text=ECO%2DPRO%2C%20in%20close%20association,the%20Tadoba%2DAndhari%20Tiger%20Reserve.,https://satpuda.org/about-us.php, https://www.tractindia.org/about-us.html"
,Aner Dam WLS,,
,Bhamragarh WLS,,
,Bor WLS,"Srushti Paryavaran Mandal, Satpuda Foundation","https://kirloskarvasundhara.com/honours/srushti-paryavaran-mandal/#:~:text=Srushti%20Paryavaran%20Mandal%2C%20Nagpur%20is,the%20cause%20of%20nature%20conservation., https://satpuda.org/"
,Bordharan WLS,,
,Chaprala WLS,,
,Rehekuri WLS,,
,Dnyanganga WLS,Kalpavriksh,https://kalpavriksh.org/botha-village/
,Gautala Autramghat WLS,"Gautala Foundation, Kalpavriksh","https://gautala.com/, https://kalpavriksh.org/wp-content/uploads/2020/10/127-PROTECTED_AREA_UPDATE_127_June_2017.pdf"
,Ghodazari WLS,,
,Great Indian Bustard Sanctuary,"The Habitats Trust, Sanctuary Nature Foundation","https://www.thehabitatstrust.org/overview.php, https://www.sanctuarynaturefoundation.org/article/saving-the-great-indian-bustard"
,Jayakwadi Bird Sanctuary,,
,Karanja Sohol WLS,,
,Karhandla WLS,SEWA,"https://www.sanctuarynaturefoundation.org/article/sustaining-environment-and-wildlife-assemblage-%28sewa%29#:~:text=SEWA%20supports%20the%20Forest%20Department,and%20confiscation%20of%20wildlife%20contraband."
,Katepurna WLS,,
,Koka WLS,Satpuda Foundation,https://satpuda.org/about-us.php
,Lonar WLS,,
,Malvan Marine WLS,Dakshin Foundation,
,Mansingdeo WLS,Kalpavriksh,https://kalpavriksh.org/wp-content/uploads/2020/06/protected-area-update-95_xviii_1feb2012.pdf
,Mayani Bird Sanctuary,,
,Mayureshwar WLS,"FORREST, The Grasslands Trust, ATREE","https://www.forrest-india.org/ghk/, https://www.thegrasslandstrust.org/, https://www.atree.org/"
,Melghat WLS,Wildlife Research and Conservation Society,https://www.wrcsindia.org/
,Nagzira WLS,"Satpuda Foundation, Nature Walk Trust","https://savingindiastigers.org/, https://naturewalktrust.org/about/"
,Naigaon Mayur WLS,,
,Nandur Madhameshwar WLS,,
,Narnala WLS,Veera Foundation,https://m.facebook.com/p/Veera-Foundation-NGO-100080364009693/
,Nawegaon WLS,,
,Painganga WLS,,
,Sagareshwar WLS,,
,Sudhagad WLS,"FORREST, Nisarg Trust","https://www.forrest-india.org/, https://www.facebook.com/nisargtrustbadlapur/?locale=hi_IN"
,Tamhini WLS,FORREST,https://www.forrest-india.org/
,Thane Creek Flamingo WLS,,
,Thillari WLS,Wildlife Conservation Trust,https://www.wildlifeconservationtrust.org/securing-the-sahyadri-konkan-corridor/
,Tipeshwar WLS,,
,Yawal WLS,"Satpuda Foundation, Wildlife First, Nature Conservation Society, TRACT","https://satpuda.org/activityreports.php, https://www.tractindia.org/, https://wildlifefirst.info/, https://ncs.org.in/"
,Yedsi Ramling Ghat WLS,,
,Wan WLS,,
,,,
GOA,Mhadei WLS,Goa Foundation,http://goafoundation.org/
,Bhagwan Mahaveer WLS,"Goa Foundation, Goyant Kollso Naka","http://goafoundation.org/, https://www.facebook.com/goyantkolsonaka/"
,Mollem NP,Goencho Ekvott,https://www.facebook.com/groups/289007759199218/
,Netravali WLS,,
,Cotigao WLS,,
,Bondla WLS,Arannya Environment Research Organization,https://www.arannya.in/
,Salim Ali Bird Sanctuary,Arannya Environment Research Organization,https://www.arannya.in/
,,,
